job_title,job_location,company,search_city,job_skills,last_processed_time,first_seen,search_country,search_position,job_level,job_type
Chuyên Gia Quay Phim,"Quận Đống Đa, Hà Nội",CTCP Xây dựng và Thiết kế Kasi đại diện cho CTCP Xây dựng và Thiết kế Kasi,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Kinh Doanh,"Bình Chánh, Hồ Chí Minh",CÔNG TY TNHH PET UNIVERSE đại diện cho CÔNG TY TNHH PET UNIVERSE,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Kỹ Sư Điện,"An Hải, Đà Nẵng",Công ty TNHH Tư vấn xây dựng và thương mại Ngọc Long Việt,Đà Nẵng,,24/03/2025,24/03/2025,Việt Nam,,,
Chuyên Gia Quay Phim,"Quận Thanh Xuân, Hà Nội",Forest Music Group,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,manager,manager,
Học Viên Thực Tập,"Tân Bình, Hồ Chí Minh",Công ty TNHH Thương Mại Dịch Vụ Web Ideas,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Quản Lý Bán Lẻ,"Quận 3, Hồ Chí Minh",Công ty CP Du lịch Coxi,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Kinh Doanh,"Quận Đống Đa, Hà Nội",CTCP Xây dựng và Thiết kế Kasi đại diện cho CTCP Xây dựng và Thiết kế Kasi,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Kế Toán,"Quận 1, Hồ Chí Minh",Cty TNHH TMDV Tài Tiến Phát đại diện cho Công ty TNHH TMDV Tài Tiến Phát,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,"junior, senior",
Nhân Viên Kinh Doanh,"Quận 1, Hồ Chí Minh",REERACOEN VIETNAM,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Tuyển Dụng,"Tân Bình, Hồ Chí Minh",Freelance Headhunter,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,manager,"leader, manager",
